Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,DRY.Library\DRY.Library.csproj,File,DRY.Library\DRY.Library.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.7.2 Recommended target framework: net10.0"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,DRY.TestProject\DRY.TestProject.csproj,File,DRY.TestProject\DRY.TestProject.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,DRY.TestProject\DRY.TestProject.csproj,File,DRY.TestProject\DRY.TestProject.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.7.2 Recommended target framework: net10.0"
Binding.0003,Library-hosted entry point missing GenerateBindingRedirectsOutputType,Active,Potential,1,DRY.TestProject\DRY.TestProject.csproj,File,DRY.TestProject\DRY.TestProject.csproj,,,,,,,,"OutputType=Library with test framework references, GenerateBindingRedirectsOutputType not set"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\DRY.WinForms.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\DRY.WinForms.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.7.2 Recommended target framework: net10.0-windows"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\Properties\Settings.Designer.cs,16,74,M:System.Configuration.ApplicationSettingsBase.#ctor,,,,,ApplicationSettingsBase
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\Properties\Settings.Designer.cs,16,74,T:System.Configuration.ApplicationSettingsBase,,,,,ApplicationSettingsBase
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\Program.cs,18,12,T:System.Windows.Forms.Application,,,,,Application.Run(new EmployeeInfo());
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\Program.cs,18,12,M:System.Windows.Forms.Application.Run(System.Windows.Forms.Form),,,,,Application.Run(new EmployeeInfo());
